Слово                          Абс. частота    Отн. частота, %     
рта                            35                  3.1194
полости                        30                  2.6738
гальваноза                     25                  2.2282
врачей                         20                  1.7825
стоматологов                   13                  1.1586
пациентов                      12                  1.0695
гальваноз                      11                  0.9804
диагностики                    11                  0.9804
патологии                      9                   0.8021
участие                        9                   0.8021
соматической                   6                   0.5348
слизистой                      5                   0.4456
врач                           5                   0.4456
выявления                      5                   0.4456
исследовании                   5                   0.4456
каждый                         5                   0.4456
сообщили                       5                   0.4456
большинство                    5                   0.4456
врачи                          5                   0.4456
профиля                        5                   0.4456
конструкциями                  4                   0.3565
либо                           4                   0.3565
дифференциальной               4                   0.3565
коморбидной                    4                   0.3565
пациенты                       4                   0.3565
оболочки                       4                   0.3565
стоматологических              4                   0.3565
отношении                      4                   0.3565
исследования                   4                   0.3565
специалистов                   4                   0.3565
опыт                           4                   0.3565
лет                            4                   0.3565
респондентов                   4                   0.3565
принявших                      4                   0.3565
стоматологи                    4                   0.3565
медицинской                    4                   0.3565
функциональной                 4                   0.3565
биопотенциалометрии            4                   0.3565
взаимодействия                 4                   0.3565
гиперчувствительности          3                   0.2674
зубопротезными                 3                   0.2674
стоматологической              3                   0.2674
практике                       3                   0.2674
наличие                        3                   0.2674
выявление                      3                   0.2674
проявлениями                   3                   0.2674
рту                            3                   0.2674
может                          3                   0.2674
только                         3                   0.2674
необходимость                  3                   0.2674
металлосодержащими             3                   0.2674
необходимо                     3                   0.2674
трудности                      3                   0.2674
междисциплинарного             3                   0.2674
медицинских                    3                   0.2674
гэрб                           3                   0.2674
работы                         3                   0.2674
врачам                         3                   0.2674
программы                      3                   0.2674
имели                          3                   0.2674
соответственно                 3                   0.2674
клинический                    3                   0.2674
наличии                        3                   0.2674
принявшие                      3                   0.2674
половины                       3                   0.2674
подозрением                    3                   0.2674
возможности                    3                   0.2674
гальванических                 2                   0.1783
токов                          2                   0.1783
обусловлено                    2                   0.1783
трудностями                    2                   0.1783
верификации                    2                   0.1783
диагноза                       2                   0.1783
сплавов                        2                   0.1783
образования                    2                   0.1783
является                       2                   0.1783
врача                          2                   0.1783
гальванозе                     2                   0.1783
изменение                      2                   0.1783
нередко                        2                   0.1783
этого                          2                   0.1783
определить                     2                   0.1783
быть                           2                   0.1783
заболеваний                    2                   0.1783
этиологии                      2                   0.1783
стоматолог                     2                   0.1783
поскольку                      2                   0.1783
влияет                         2                   0.1783
состояние                      2                   0.1783
заболеваниями                  2                   0.1783
жкт                            2                   0.1783
эндокринной                    2                   0.1783
здоровье                       2                   0.1783
развитию                       2                   0.1783
особенно                       2                   0.1783
больных                        2                   0.1783
фоне                           2                   0.1783
явлений                        2                   0.1783
таким                          2                   0.1783
образом                        2                   0.1783
зубными                        2                   0.1783
протезами                      2                   0.1783
настороженность                2                   0.1783
специализации                  2                   0.1783
несмотря                       2                   0.1783
остаётся                       2                   0.1783
осведомлённости                2                   0.1783
причинах                       2                   0.1783
проявлениях                    2                   0.1783
проблемы                       2                   0.1783
соматических                   2                   0.1783
методы                         2                   0.1783
уровень                        2                   0.1783
информированности              2                   0.1783
стмо                           2                   0.1783
оценивали                      2                   0.1783
гастроэзофагиально             2                   0.1783
сд                             2                   0.1783
получить                       2                   0.1783
стаж                           2                   0.1783
приёма                         2                   0.1783
мнению                         2                   0.1783
опрошенных                     2                   0.1783
диагностике                    2                   0.1783
улучшению                      2                   0.1783
результаты                     2                   0.1783
среди                          2                   0.1783
них                            2                   0.1783
стаже                          2                   0.1783
значительный                   2                   0.1783
сообщил                        2                   0.1783
стоматологии                   2                   0.1783
опросе                         2                   0.1783
стоматологического             2                   0.1783
больного                       2                   0.1783
сообщали                       2                   0.1783
случаи                         2                   0.1783
выразили                       2                   0.1783
никогда                        2                   0.1783
сталкивались                   2                   0.1783
многие                         2                   0.1783
заболевания                    2                   0.1783
были                           2                   0.1783
считали                        2                   0.1783
отсутствие                     2                   0.1783
оборудования                   2                   0.1783
врачами                        2                   0.1783
другого                        2                   0.1783
обследование                   2                   0.1783
пациента                       2                   0.1783
проявлений                     2                   0.1783
направляли                     2                   0.1783
времени                        2                   0.1783
приёме                         2                   0.1783
заключение                     2                   0.1783
пациентом                      2                   0.1783
контролирует                   2                   0.1783
выполнение                     2                   0.1783
своих                          2                   0.1783
рекомендаций                   2                   0.1783
меры                           2                   0.1783
иммунодиагностики              2                   0.1783
количество                     2                   0.1783
проведения                     2                   0.1783
условиях                       2                   0.1783
клинических                    2                   0.1783
маршрутизации                  2                   0.1783
организаций                    2                   0.1783
рекомендации                   2                   0.1783
организации                    2                   0.1783
введение                       1                   0.0891
реакция                        1                   0.0891
вызванная                      1                   0.0891
возникновением                 1                   0.0891
несколькими                    1                   0.0891
металлическими                 1                   0.0891
находящимися                   1                   0.0891
современной                    1                   0.0891
